Station information:,,,,,,,
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Reefton Ews,10/8/2021,0,-,0.7,0,24,D
Warkworth Ews,10/8/2021,0.2,-,1.9,0,24,D
Auckland Aero,11/8/2021,0.6,-,2.4,0,24,D
"Auckland, Henderson North",11/8/2021,1.4,-,0,0,24,D
"Auckland, Mangere 2 Ews",11/8/2021,1,-,1.9,0,24,D
"Auckland, Motat Ews",11/8/2021,0.4,-,2.2,0,24,D
"Auckland, North Shore Albany Ews",11/8/2021,0.8,-,-,-,24,D
"Auckland, Whenuapai Aws",11/8/2021,0.8,-,1.9,0,24,D
Leigh 2 Ews,11/8/2021,0.2,-,3.9,0,24,D
Pukekohe Ews,11/8/2021,2,-,0.3,0,24,D
Reefton Ews,11/8/2021,1.6,-,0,0.2,24,D
Warkworth Ews,11/8/2021,0,-,3.9,0,24,D
Auckland Aero,12/8/2021,0,-,4.1,0,24,D
"Auckland, Henderson North",12/8/2021,0.4,-,1,0,24,D
"Auckland, Mangere 2 Ews",12/8/2021,0.2,-,3.2,0,24,D
"Auckland, Motat Ews",12/8/2021,0,-,3.6,0,24,D
"Auckland, North Shore Albany Ews",12/8/2021,0,-,-,-,24,D
"Auckland, Whenuapai Aws",12/8/2021,1.2,-,2.1,0,24,D
Leigh 2 Ews,12/8/2021,0.8,-,5.2,0,24,D
Pukekohe Ews,12/8/2021,0.6,-,1,0,24,D
Reefton Ews,12/8/2021,0,-,0.7,0,24,D
Warkworth Ews,12/8/2021,2.2,-,3.8,0,24,D
Auckland Aero,13/08/2021,1.2,-,4.6,0,24,D
"Auckland, Henderson North",13/08/2021,1.7,-,0.8,0,24,D
"Auckland, Mangere 2 Ews",13/08/2021,0.4,-,4.4,0,24,D
"Auckland, Motat Ews",13/08/2021,0.2,-,4.9,0,24,D
"Auckland, North Shore Albany Ews",13/08/2021,0.2,-,-,-,24,D
"Auckland, Whenuapai Aws",13/08/2021,2,-,1.5,0,24,D
Leigh 2 Ews,13/08/2021,0,-,7.3,0,24,D
Pukekohe Ews,13/08/2021,1,-,1.3,0,24,D
Reefton Ews,13/08/2021,16.6,-,0,15.2,24,D
Warkworth Ews,13/08/2021,0,-,5.9,0,24,D
Auckland Aero,14/08/2021,1.6,-,4.7,0,24,D
"Auckland, Henderson North",14/08/2021,3.3,-,0,1.1,24,D
"Auckland, Mangere 2 Ews",14/08/2021,1.6,-,4.3,0,24,D
"Auckland, Motat Ews",14/08/2021,1.2,-,5.1,0,24,D
"Auckland, North Shore Albany Ews",14/08/2021,1.6,-,-,-,24,D
"Auckland, Whenuapai Aws",14/08/2021,1.9,-,0.9,0,24,D
Leigh 2 Ews,14/08/2021,1.8,-,7.5,0,24,D
Pukekohe Ews,14/08/2021,3.8,-,0,1.3,24,D
Reefton Ews,14/08/2021,4.6,-,0,3.9,24,D
Warkworth Ews,14/08/2021,4,-,3.9,0,24,D
Auckland Aero,15/08/2021,1,-,5.3,0,24,D
"Auckland, Henderson North",15/08/2021,2.5,-,0,1.1,24,D
"Auckland, Mangere 2 Ews",15/08/2021,2,-,3.9,0,24,D
"Auckland, Motat Ews",15/08/2021,1.6,-,4.9,0,24,D
"Auckland, North Shore Albany Ews",15/08/2021,2.6,-,-,-,24,D
"Auckland, Whenuapai Aws",15/08/2021,2.1,-,0.2,0,24,D
Leigh 2 Ews,15/08/2021,0.6,-,9,0,24,D
Pukekohe Ews,15/08/2021,1.6,-,0,0.3,24,D
Reefton Ews,15/08/2021,6.8,-,0,6.1,24,D
Warkworth Ews,15/08/2021,0.6,-,5.4,0,24,D
Auckland Aero,16/08/2021,0.6,-,6.4,0,24,D
"Auckland, Henderson North",16/08/2021,1.8,-,0,0.4,24,D
"Auckland, Mangere 2 Ews",16/08/2021,0.6,-,4.8,0,24,D
"Auckland, Motat Ews",16/08/2021,0.4,-,5.9,0,24,D
"Auckland, North Shore Albany Ews",16/08/2021,0.2,-,-,-,24,D
"Auckland, Whenuapai Aws",16/08/2021,0.3,-,1.3,0,24,D
Leigh 2 Ews,16/08/2021,0,-,11.1,0,24,D
Pukekohe Ews,16/08/2021,1.6,-,0,0.3,24,D
Reefton Ews,16/08/2021,0,-,0.7,0,24,D
Warkworth Ews,16/08/2021,0,-,7.5,0,24,D
Auckland Aero,17/08/2021,0.2,-,7.9,0,24,D
"Auckland, Henderson North",17/08/2021,0,-,1.4,0,24,D
"Auckland, Mangere 2 Ews",17/08/2021,0,-,6.3,0,24,D
"Auckland, Motat Ews",17/08/2021,0,-,7.3,0,24,D
