Station information:,,,,,,,
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Winchmore 2 Ews,31/07/2021,0,-,3.3,0,24,D
Akaroa Ews,1/8/2021,0,-,2.6,0,24,D
Ashburton Aero Aws,1/8/2021,0,-,3.1,0,24,D
Balmoral East Cws,1/8/2021,0,-,6.8,0,24,D
Bromley Ews,1/8/2021,0,-,14,0,24,D
Chertsey Cws,1/8/2021,0,-,4.1,0,24,D
Cheviot Ews,1/8/2021,0,-,39.7,0,24,D
Christchurch Aero,1/8/2021,0,-,2.2,0,24,D
"Christchurch, Kyle St Ews",1/8/2021,0,-,4.5,0,24,D
Culverden Aws,1/8/2021,0,-,7.8,0,24,D
Cass Ews,1/8/2021,0,-,-,-,24,D
Diamond Harbour Ews,1/8/2021,0,-,3,0,24,D
Hanmer Forest Ews,1/8/2021,0,-,1.8,0,24,D
Le Bons Bay Aws,1/8/2021,0,-,23.2,0,24,D
"Lincoln, Broadfield Ews",1/8/2021,0,-,2.9,0,24,D
"Lismore, Racemans House Cws",1/8/2021,0,-,3.4,0,24,D
Medbury Cws,1/8/2021,0,-,8,0,24,D
Methven Cws,1/8/2021,0,-,-,-,24,D
Ohoka Cws,1/8/2021,0,-,1.1,0,24,D
Rangiora Ews,1/8/2021,0,-,3.8,0,24,D
Waipara West Ews,1/8/2021,0,-,8,0,24,D
Wakanui 2 Cws,1/8/2021,0,-,3.3,0,24,D
Winchmore 2 Ews,1/8/2021,0,-,4.1,0,24,D
Akaroa Ews,2/8/2021,0,-,3.8,0,24,D
Ashburton Aero Aws,2/8/2021,0.4,-,3.9,0,24,D
Balmoral East Cws,2/8/2021,0,-,8.4,0,24,D
Bromley Ews,2/8/2021,0,-,15.1,0,24,D
Chertsey Cws,2/8/2021,0,-,5.2,0,24,D
Cheviot Ews,2/8/2021,0,-,40.7,0,24,D
Christchurch Aero,2/8/2021,0,-,3.2,0,24,D
"Christchurch, Kyle St Ews",2/8/2021,0,-,5.4,0,24,D
Culverden Aws,2/8/2021,0,-,9.4,0,24,D
Cass Ews,2/8/2021,1.2,-,-,-,24,D
Diamond Harbour Ews,2/8/2021,0,-,4.2,0,24,D
Hanmer Forest Ews,2/8/2021,0,-,2.6,0,24,D
Le Bons Bay Aws,2/8/2021,0,-,24.4,0,24,D
"Lincoln, Broadfield Ews",2/8/2021,0,-,4.2,0,24,D
"Lismore, Racemans House Cws",2/8/2021,1.6,-,3,0,24,D
Medbury Cws,2/8/2021,0,-,9.6,0,24,D
Methven Cws,2/8/2021,1.8,-,-,-,24,D
Ohoka Cws,2/8/2021,0,-,2,0,24,D
Rangiora Ews,2/8/2021,0,-,4.7,0,24,D
Waipara West Ews,2/8/2021,0,-,9.7,0,24,D
Wakanui 2 Cws,2/8/2021,0,-,4.5,0,24,D
Winchmore 2 Ews,2/8/2021,0.8,-,4.4,0,24,D
Akaroa Ews,3/8/2021,44.4,-,0,39.4,24,D
Ashburton Aero Aws,3/8/2021,14.2,-,0,9.1,24,D
Balmoral East Cws,3/8/2021,22.8,-,0,12.7,24,D
Bromley Ews,3/8/2021,24.6,-,0,8.4,24,D
Chertsey Cws,3/8/2021,18.4,-,0,12,24,D
Cheviot Ews,3/8/2021,14.4,-,27.3,0,24,D
Christchurch Aero,3/8/2021,25,-,0,20.9,24,D
"Christchurch, Kyle St Ews",3/8/2021,22.6,-,0,16.2,24,D
Culverden Aws,3/8/2021,8.2,-,2.9,0,24,D
Cass Ews,3/8/2021,1,-,-,-,24,D
Diamond Harbour Ews,3/8/2021,41.8,-,0,36.4,24,D
Hanmer Forest Ews,3/8/2021,11.4,-,0,7.9,24,D
Le Bons Bay Aws,3/8/2021,12.6,-,13,0,24,D
"Lincoln, Broadfield Ews",3/8/2021,23.2,-,0,17.7,24,D
"Lismore, Racemans House Cws",3/8/2021,14.4,-,0,10.2,24,D
Medbury Cws,3/8/2021,9.2,-,2.1,0,24,D
Methven Cws,3/8/2021,15.2,-,-,-,24,D
Ohoka Cws,3/8/2021,27.2,-,0,24.3,24,D
Rangiora Ews,3/8/2021,22.8,-,0,17.2,24,D
Waipara West Ews,3/8/2021,23.2,-,0,11.9,24,D
Wakanui 2 Cws,3/8/2021,8.6,-,0,2.9,24,D
Winchmore 2 Ews,3/8/2021,14,-,0,8.4,24,D
Akaroa Ews,4/8/2021,14,-,0,12.8,24,D
Ashburton Aero Aws,4/8/2021,1,-,0.2,0,24,D
Balmoral East Cws,4/8/2021,1.6,-,0.1,0,24,D
Bromley Ews,4/8/2021,11,-,0,9.9,24,D
Chertsey Cws,4/8/2021,1.8,-,0,0.6,24,D
Cheviot Ews,4/8/2021,2,-,26.2,0,24,D
Christchurch Aero,4/8/2021,5.6,-,0,4.7,24,D
"Christchurch, Kyle St Ews",4/8/2021,7.8,-,0,6.8,24,D
Culverden Aws,4/8/2021,0.8,-,3.8,0,24,D
Cass Ews,4/8/2021,0,-,-,-,24,D
Diamond Harbour Ews,4/8/2021,15.8,-,0,14.6,24,D
Hanmer Forest Ews,4/8/2021,2.4,-,0,1.6,24,D
Le Bons Bay Aws,4/8/2021,6.4,-,7.8,0,24,D
"Lincoln, Broadfield Ews",4/8/2021,4.6,-,0,3.3,24,D
"Lismore, Racemans House Cws",4/8/2021,0,-,1.2,0,24,D
Medbury Cws,4/8/2021,0.2,-,3.6,0,24,D
Methven Cws,4/8/2021,0.8,-,-,-,24,D
Ohoka Cws,4/8/2021,5,-,0,4.1,24,D
Rangiora Ews,4/8/2021,5,-,0,4.1,24,D
Waipara West Ews,4/8/2021,2,-,0,0.3,24,D
Wakanui 2 Cws,4/8/2021,1.2,-,0,0,24,D
Winchmore 2 Ews,4/8/2021,0.4,-,0.8,0,24,D
Akaroa Ews,5/8/2021,0,-,1.2,0,24,D
Ashburton Aero Aws,5/8/2021,0,-,1.4,0,24,D
Balmoral East Cws,5/8/2021,0,-,1.7,0,24,D
Bromley Ews,5/8/2021,0,-,1.1,0,24,D
Chertsey Cws,5/8/2021,0,-,1.2,0,24,D
Cheviot Ews,5/8/2021,0.2,-,27,0,24,D
Christchurch Aero,5/8/2021,0.4,-,0.5,0,24,D
"Christchurch, Kyle St Ews",5/8/2021,0,-,1,0,24,D
Culverden Aws,5/8/2021,0,-,5.4,0,24,D
Cass Ews,5/8/2021,1,-,-,-,24,D
Diamond Harbour Ews,5/8/2021,0,-,1.2,0,24,D
Hanmer Forest Ews,5/8/2021,0,-,0.8,0,24,D
Le Bons Bay Aws,5/8/2021,0,-,8.9,0,24,D
"Lincoln, Broadfield Ews",5/8/2021,0.2,-,1.1,0,24,D
"Lismore, Racemans House Cws",5/8/2021,0,-,2.4,0,24,D
Medbury Cws,5/8/2021,0,-,5.2,0,24,D
Methven Cws,5/8/2021,0,-,-,-,24,D
Ohoka Cws,5/8/2021,0.8,-,0.1,0,24,D
Rangiora Ews,5/8/2021,0.2,-,0.7,0,24,D
Waipara West Ews,5/8/2021,0,-,1.7,0,24,D
Wakanui 2 Cws,5/8/2021,0,-,1.2,0,24,D
Winchmore 2 Ews,5/8/2021,0,-,2,0,24,D
Akaroa Ews,6/8/2021,1.6,-,0.8,0,24,D
Ashburton Aero Aws,6/8/2021,0.8,-,1.8,0,24,D
Balmoral East Cws,6/8/2021,5.6,-,0,2.2,24,D
Bromley Ews,6/8/2021,3.6,-,0,1.4,24,D
Chertsey Cws,6/8/2021,2.2,-,0.2,0,24,D
Cheviot Ews,6/8/2021,3.6,-,24.4,0,24,D
Christchurch Aero,6/8/2021,6.2,-,0,4.8,24,D
"Christchurch, Kyle St Ews",6/8/2021,4.6,-,0,2.7,24,D
Culverden Aws,6/8/2021,6,-,1.1,0,24,D
Cass Ews,6/8/2021,6.4,-,-,-,24,D
Diamond Harbour Ews,6/8/2021,4.6,-,0,2.2,24,D
Hanmer Forest Ews,6/8/2021,3.6,-,0,1.9,24,D
Le Bons Bay Aws,6/8/2021,1.4,-,8.7,0,24,D
"Lincoln, Broadfield Ews",6/8/2021,6,-,0,3.6,24,D
"Lismore, Racemans House Cws",6/8/2021,0,-,3.6,0,24,D
Medbury Cws,6/8/2021,6.2,-,0.7,0,24,D
Methven Cws,6/8/2021,1.8,-,-,-,24,D
Ohoka Cws,6/8/2021,8.6,-,0,7.6,24,D
Rangiora Ews,6/8/2021,9.2,-,0,7.6,24,D
Waipara West Ews,6/8/2021,7.2,-,0,3.9,24,D
Wakanui 2 Cws,6/8/2021,0,-,2.4,0,24,D
Winchmore 2 Ews,6/8/2021,1.6,-,1.5,0,24,D
Akaroa Ews,7/8/2021,3.2,-,0,1.2,24,D
Ashburton Aero Aws,7/8/2021,2.2,-,0.8,0,24,D
Balmoral East Cws,7/8/2021,0,-,1.7,0,24,D
Bromley Ews,7/8/2021,3,-,0,1.9,24,D
Chertsey Cws,7/8/2021,2.2,-,0,0.9,24,D
Cheviot Ews,7/8/2021,0,-,25.4,0,24,D
Christchurch Aero,7/8/2021,3.2,-,0,2.3,24,D
"Christchurch, Kyle St Ews",7/8/2021,3.2,-,0,2.2,24,D
Culverden Aws,7/8/2021,0,-,2.7,0,24,D
Cass Ews,7/8/2021,0.2,-,-,-,24,D
Diamond Harbour Ews,7/8/2021,5.6,-,0,4.4,24,D
Hanmer Forest Ews,7/8/2021,0.2,-,0.6,0,24,D
Le Bons Bay Aws,7/8/2021,1.6,-,8.3,0,24,D
"Lincoln, Broadfield Ews",7/8/2021,4.2,-,0,2.9,24,D
"Lismore, Racemans House Cws",7/8/2021,0.2,-,4.6,0,24,D
Medbury Cws,7/8/2021,0,-,2.3,0,24,D
Methven Cws,7/8/2021,2,-,-,-,24,D
Ohoka Cws,7/8/2021,3.6,-,0,2.7,24,D
Rangiora Ews,7/8/2021,3,-,0,2.1,24,D
Waipara West Ews,7/8/2021,0.2,-,1.5,0,24,D
Wakanui 2 Cws,7/8/2021,1.2,-,2.4,0,24,D
Winchmore 2 Ews,7/8/2021,2,-,0.7,0,24,D
Akaroa Ews,8/8/2021,1.8,-,0,0.6,24,D
Ashburton Aero Aws,8/8/2021,2.2,-,0,0.2,24,D
Balmoral East Cws,8/8/2021,2.6,-,0.7,0,24,D
Bromley Ews,8/8/2021,7.2,-,0,6.1,24,D
Chertsey Cws,8/8/2021,2,-,0,0.8,24,D
Cheviot Ews,8/8/2021,3.8,-,22.5,0,24,D
Christchurch Aero,8/8/2021,2.2,-,0,1.3,24,D
"Christchurch, Kyle St Ews",8/8/2021,4.2,-,0,3.2,24,D
Culverden Aws,8/8/2021,3.6,-,0.8,0,24,D
Cass Ews,8/8/2021,0.4,-,-,-,24,D
Diamond Harbour Ews,8/8/2021,2,-,0,0.8,24,D
Hanmer Forest Ews,8/8/2021,1.4,-,0.1,0,24,D
Le Bons Bay Aws,8/8/2021,1,-,8.5,0,24,D
"Lincoln, Broadfield Ews",8/8/2021,3.6,-,0,2.3,24,D
"Lismore, Racemans House Cws",8/8/2021,4.6,-,1.2,0,24,D
Medbury Cws,8/8/2021,2,-,2,0,24,D
Methven Cws,8/8/2021,5.2,-,-,-,24,D
Ohoka Cws,8/8/2021,1.6,-,0,0.7,24,D
Rangiora Ews,8/8/2021,0.6,-,0.3,0,24,D
Waipara West Ews,8/8/2021,6,-,0,2.9,24,D
Wakanui 2 Cws,8/8/2021,2.2,-,1.4,0,24,D
Winchmore 2 Ews,8/8/2021,3.8,-,0,1.9,24,D
Akaroa Ews,9/8/2021,4.8,-,0,3.6,24,D
Ashburton Aero Aws,9/8/2021,15.6,-,0,14.4,24,D
Balmoral East Cws,9/8/2021,27.4,-,0,25,24,D
Bromley Ews,9/8/2021,11.2,-,0,10.1,24,D
Chertsey Cws,9/8/2021,9.8,-,0,8.6,24,D
Cheviot Ews,9/8/2021,35.6,-,0,12.1,24,D
Christchurch Aero,9/8/2021,11.4,-,0,10.5,24,D
"Christchurch, Kyle St Ews",9/8/2021,9.4,-,0,8.4,24,D
Culverden Aws,9/8/2021,19.2,-,0,16.8,24,D
Cass Ews,9/8/2021,1.2,-,-,-,24,D
