Station information:,,,,,,,
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Stephens Island Aws,31/07/2021,0.4,-,-,-,24,D
"Upper Hutt, Trentham Ews",31/07/2021,0,-,1.8,0,24,D
Wellington Aero,31/07/2021,0,-,2.5,0,24,D
"Wellington, Greta Point Cws",31/07/2021,0,-,2.5,0,24,D
"Wellington, Kelburn 2",31/07/2021,0,-,2.5,0,24,D
"Wellington, Kelburn Aws",31/07/2021,0,-,2.3,0,24,D
Baring Head,1/8/2021,0.4,-,2.7,0,24,D
Blenheim Aero Aws,1/8/2021,0,-,3.6,0,24,D
Blenheim Research Ews,1/8/2021,0,-,3.4,0,24,D
Brothers Island Aws,1/8/2021,0.2,-,1.8,0,24,D
Cape Campbell Aws,1/8/2021,0,-,3.6,0,24,D
Levin Aws,1/8/2021,0,-,1.5,0,24,D
Levin Ews,1/8/2021,0,-,1.4,0,24,D
Mana Island Aws,1/8/2021,0,-,2,0,24,D
Martinborough Ews,1/8/2021,0,-,2.9,0,24,D
Masterton Aero Aws,1/8/2021,0.2,-,1.9,0,24,D
Masterton Ews,1/8/2021,0,-,2.7,0,24,D
"Masterton, Te Ore Ore Cws",1/8/2021,0,-,2.5,0,24,D
"Masterton, Te Ore Ore Srig",1/8/2021,0,-,2.5,0,24,D
Maungaraki 3,1/8/2021,0,-,2.2,0,24,D
Ngawi Aws,1/8/2021,0,-,3.2,0,24,D
Paraparaumu Aero,1/8/2021,0,0,2,0,24,D
Paraparaumu Aero Aws,1/8/2021,0,-,1.8,0,24,D
Paraparaumu Ews,1/8/2021,0,-,2.2,0,24,D
"Porirua, Elsdon Park Aws",1/8/2021,0.2,-,1.8,0,24,D
Stephens Island Aws,1/8/2021,0,-,-,-,24,D
"Upper Hutt, Trentham Ews",1/8/2021,0,-,2.3,0,24,D
Wellington Aero,1/8/2021,0,-,3.3,0,24,D
"Wellington, Greta Point Cws",1/8/2021,0,-,3.3,0,24,D
"Wellington, Kelburn 2",1/8/2021,0,-,3.3,0,24,D
"Wellington, Kelburn Aws",1/8/2021,0,-,3.1,0,24,D
Baring Head,2/8/2021,0,-,4,0,24,D
Blenheim Aero Aws,2/8/2021,0,-,4.8,0,24,D
Blenheim Research Ews,2/8/2021,0,-,4.6,0,24,D
Brothers Island Aws,2/8/2021,0,-,2.8,0,24,D
Cape Campbell Aws,2/8/2021,0,-,4.8,0,24,D
Levin Aws,2/8/2021,0,-,2.6,0,24,D
Levin Ews,2/8/2021,0,-,2.5,0,24,D
Mana Island Aws,2/8/2021,0.2,-,2.8,0,24,D
Martinborough Ews,2/8/2021,0,-,4.1,0,24,D
Masterton Aero Aws,2/8/2021,0.2,-,2.7,0,24,D
Masterton Ews,2/8/2021,0,-,3.6,0,24,D
"Masterton, Te Ore Ore Cws",2/8/2021,0,-,3.4,0,24,D
"Masterton, Te Ore Ore Srig",2/8/2021,0.2,-,3.2,0,24,D
Maungaraki 3,2/8/2021,0,-,3.2,0,24,D
Ngawi Aws,2/8/2021,0,-,4.4,0,24,D
Paraparaumu Aero,2/8/2021,0,0,3.2,0,24,D
Paraparaumu Aero Aws,2/8/2021,0,-,3,0,24,D
Paraparaumu Ews,2/8/2021,0,-,3.4,0,24,D
"Porirua, Elsdon Park Aws",2/8/2021,0,-,2.8,0,24,D
Stephens Island Aws,2/8/2021,0,-,-,-,24,D
"Upper Hutt, Trentham Ews",2/8/2021,0,-,3.3,0,24,D
Wellington Aero,2/8/2021,0,-,4.6,0,24,D
"Wellington, Greta Point Cws",2/8/2021,0,-,4.6,0,24,D
"Wellington, Kelburn 2",2/8/2021,0,-,4.6,0,24,D
"Wellington, Kelburn Aws",2/8/2021,0.4,-,4,0,24,D
Baring Head,3/8/2021,0.2,-,5,0,24,D
Blenheim Aero Aws,3/8/2021,1.4,-,4.6,0,24,D
Blenheim Research Ews,3/8/2021,1,-,4.8,0,24,D
Brothers Island Aws,3/8/2021,6.2,-,0,2.4,24,D
Cape Campbell Aws,3/8/2021,2.4,-,3.6,0,24,D
Levin Aws,3/8/2021,0,-,3.6,0,24,D
Levin Ews,3/8/2021,0,-,3.5,0,24,D
Mana Island Aws,3/8/2021,1.4,-,2.4,0,24,D
Martinborough Ews,3/8/2021,0.4,-,4.9,0,24,D
Masterton Aero Aws,3/8/2021,0,-,3.7,0,24,D
Masterton Ews,3/8/2021,0,-,4.5,0,24,D
"Masterton, Te Ore Ore Cws",3/8/2021,0,-,4.3,0,24,D
"Masterton, Te Ore Ore Srig",3/8/2021,0,-,4.1,0,24,D
Maungaraki 3,3/8/2021,0.2,-,4.1,0,24,D
Ngawi Aws,3/8/2021,8.2,-,0,2.6,24,D
Paraparaumu Aero,3/8/2021,0.2,1,4.2,0,24,D
