SampleLocation,sars_gcl,Date,Result,copies_per_day_per_person,avg_rain,avg_rain.lag1,avg_rain.lag2,avg_rain.lag3,avg_rain.lag4,avg_rain.lag5,avg_rain.lag6,avg_rain.lag7,population,sars_per_person,SAMPLELOCATION,daily_flow_rate_m3
AU_Eastern,7888.18,2022-09-28,Detected,2180246,0,0.06666666666666667,0,0,4.666666666666666,8.4,0.06666666666666667,4.333333333333333,18391,0.42891523027567835,AU_Eastern,NA
AU_Eastern,3431.04,2022-10-03,Detected,948319,2.4,18.866666666666667,23.133333333333333,3.6666666666666665,0.06666666666666667,0,0.06666666666666667,0,18391,0.18656081779131098,AU_Eastern,NA
AU_Eastern,20174.87,2022-10-05,Detected,5576215,0.4,1.4,2.4,18.866666666666667,23.133333333333333,3.6666666666666665,0.06666666666666667,0,18391,1.0969969006579305,AU_Eastern,NA
AU_Eastern,20311.27,2022-10-10,Detected,5613915,0,0,0,0.4,3.4,0.4,1.4,2.4,18391,1.104413571855799,NA,NA
AU_Eastern,13123.18,2022-10-12,Detected,3627169,0,0,0,0,0,0.4,3.4,0.4,18391,0.7135653308683595,NA,NA
AU_Eastern,15739.67,2022-10-19,Detected,4350352,0.6,4.3,0,0,0.2,0.26666666666666666,0,0,18391,0.8558354629982057,NA,NA
AU_Eastern,16768.28,2022-10-26,Detected,4634653,0,0,0,0,1.6666666666666667,0.8666666666666667,0,0.6,18391,0.9117655374911641,NA,NA
AU_Eastern,4531.43,2022-10-31,Detected,1252460,28.8,40.4,0,0.13333333333333333,0,0,0,0,18391,0.24639388831493667,NA,NA
AU_Eastern,1760.37,2022-11-02,Detected,486555,0,0,28.8,40.4,0,0.13333333333333333,0,0,18391,0.09571910173454407,NA,NA
AU_Eastern,22413.76,2022-11-07,Detected,6195031,0,0,0.06666666666666667,0.5,0,0,0,28.8,18391,1.2187352509379588,NA,NA
AU_Eastern,1811.97,2022-11-14,Detected,500817,0.4,0,6.6,19.733333333333334,0.3333333333333333,12.333333333333334,0,0,18391,0.09852482192376706,NA,NA
AU_Eastern,7547.67,2022-11-16,Detected,2086131,0.19999999999999998,0,0.4,0,6.6,19.733333333333334,0.3333333333333333,12.333333333333334,18391,0.4104001957479202,NA,NA
